GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant,aka.jmetadataquery.main.types.search.file,FileExtensionSearch,70,32,8,2,18,8,6,2,2,1
JaCoCo Ant,aka.jmetadataquery.main.types.search.file,FileSizeSearch,59,10,6,0,16,4,5,1,2,1
JaCoCo Ant,aka.jmetadataquery.main,JMetadataQuery,37,0,6,0,9,0,5,0,2,0
JaCoCo Ant,aka.jmetadataquery.main.types.search.helpers,SearchHelper,199,0,30,0,42,0,19,0,4,0
JaCoCo Ant,aka.jmetadataquery.main.types.search.video,VideoAspectRatioSearch,78,10,8,0,21,4,6,1,2,1
JaCoCo Ant,aka.jmetadataquery.main.types.search.video,VideoResolutionSearch,82,10,10,0,23,4,7,1,2,1
JaCoCo Ant,aka.jmetadataquery.main.types.search.video,VideoBitRateSearch,81,0,8,0,23,0,7,0,3,0
JaCoCo Ant,aka.jmetadataquery.main.types.search.video,VideoFormatSearch,125,10,18,0,33,4,11,1,2,1
JaCoCo Ant,aka.jmetadataquery.main.types.search.video,VideoMaxBitRateSearch,71,10,8,0,19,4,6,1,2,1
JaCoCo Ant,aka.jmetadataquery.main.types.search.video,VideoCodecIdSearch,83,10,10,0,21,4,7,1,2,1
JaCoCo Ant,aka.jmetadataquery.main.types.search.operation,OrSearch,55,21,10,2,16,5,8,2,2,2
JaCoCo Ant,aka.jmetadataquery.main.types.search.operation,AndSearch,36,40,8,4,12,9,6,4,1,3
JaCoCo Ant,aka.jmetadataquery.main.types.search.operation,AsbtractOperatorSearch,210,77,36,4,48,15,23,7,5,5
JaCoCo Ant,aka.jmetadataquery.main.types.search.operation,RootSearch,15,0,0,0,5,0,3,0,3,0
JaCoCo Ant,aka.jmetadataquery.main.types.search.constants,LanguageTagSearchEnum,159,0,8,0,20,0,11,0,7,0
JaCoCo Ant,aka.jmetadataquery.main.types.search,Criteria,313,15,65,1,72,5,35,4,2,4
JaCoCo Ant,aka.jmetadataquery.test,JMetadataQuery_Test,1040,271,0,0,261,41,0,24,0,24
JaCoCo Ant,aka.jmetadataquery.main.types.constants.file,FileExtensionSearchEnum,56,119,8,0,10,11,8,3,4,3
JaCoCo Ant,aka.jmetadataquery.main.types.constants,LanguageEnum,59,85,10,0,12,7,9,2,4,2
JaCoCo Ant,aka.jmetadataquery.main.types.constants,LanguageTagEnum,174,0,8,0,25,0,11,0,7,0
JaCoCo Ant,aka.jmetadataquery.main.types.constants,CompressionModeEnum,48,34,8,0,10,6,8,2,4,2
JaCoCo Ant,aka.jmetadataquery.main.types.search.text,TextLanguageSearch,95,10,14,0,22,4,9,1,2,1
JaCoCo Ant,aka.jmetadataquery.main.types.constants.video,VideoExtensionEnum,46,155,8,2,11,19,8,5,4,4
JaCoCo Ant,aka.jmetadataquery.main.types.search.general,GeneralDurationSearch,59,10,6,0,16,4,5,1,2,1
JaCoCo Ant,aka.jmetadataquery.main.types.search.audio,AudioMaxBitRateSearch,82,0,8,0,23,0,7,0,3,0
JaCoCo Ant,aka.jmetadataquery.main.types.search.audio,AudioChannelSearch,71,10,8,0,19,4,6,1,2,1
JaCoCo Ant,aka.jmetadataquery.main.types.search.audio,AudioBitRateSearch,71,10,8,0,19,4,6,1,2,1
JaCoCo Ant,aka.jmetadataquery.main.types.search.audio,AudioCompressionModeSearch,72,10,8,0,19,4,6,1,2,1
JaCoCo Ant,aka.jmetadataquery.main.types.search.audio,AudioLanguageSearch,95,10,14,0,22,4,9,1,2,1
JaCoCo Ant,aka.jmetadataquery.main.types.search.audio,AudioProfileSearch,72,10,8,0,19,4,6,1,2,1
JaCoCo Ant,aka.jmetadataquery.main.types.search.audio,AudioCodecIdSearch,83,10,10,0,21,4,7,1,2,1
JaCoCo Ant,aka.jmetadataquery.main.types.search.audio,AudioFormatSearch,125,10,18,0,33,4,11,1,2,1
JaCoCo Ant,aka.jmetadataquery.main.types.search.constants.video,VideoResolutionSearchEnum,49,100,8,0,10,12,8,2,4,2
